id,candidato,data_ited,conversation_id,referenced_tweet_id
1558260046383009792,Lula,2022-08-14,1558260046383009792,
1558948211250937863,Lula,2022-08-15,1558948211250937863,
1558893983186784257,Lula,2022-08-15,1558840434142707716,1558840434142707716
1558893755419267073,Lula,2022-08-15,1558893755419267073,1558840434142707716
1558879804899868672,Lula,2022-08-15,1558879804899868672,
1558834809882943489,Lula,2022-08-15,1558834809882943489,
1558795209391095808,Lula,2022-08-15,1558795209391095808,
1558777985909620736,Lula,2022-08-15,1558777985909620736,
1558621865295355904,Lula,2022-08-15,1558621865295355904,
1559321874592665603,Lula,2022-08-16,1559321874592665603,
1559318770639949825,Lula,2022-08-16,1559318770639949825,
1559317769333751826,Lula,2022-08-16,1559317769333751826,
1559315193334751232,Lula,2022-08-16,1559315193334751232,
1559314231899693057,Lula,2022-08-16,1559314231899693057,
1559313079334322176,Lula,2022-08-16,1559313079334322176,
1559310232689467392,Lula,2022-08-16,1559310232689467392,
1559304457665630208,Lula,2022-08-16,1559304457665630208,
1559281760692645888,Lula,2022-08-16,1559281760692645888,
1559223470541754370,Lula,2022-08-16,1559223470541754370,
1559208905959526400,Lula,2022-08-16,1559208905959526400,
1559202562900987911,Lula,2022-08-16,1559202562900987911,
1559130443064217601,Lula,2022-08-16,1559130443064217601,
1558984926694969344,Lula,2022-08-16,1558984926694969344,
1559680765717364743,Lula,2022-08-17,1559680765717364743,1558927767877582856
1559670439915536387,Lula,2022-08-17,1559670439915536387,
1559635160798224388,Lula,2022-08-17,1559635160798224388,
1559613301218238465,Lula,2022-08-17,1559613301218238465,
1559612225819746307,Lula,2022-08-17,1559612225819746307,
1559608024746033152,Lula,2022-08-17,1559608023349346304,1559608023349346304
1559608023349346304,Lula,2022-08-17,1559608023349346304,
1559599204460281859,Lula,2022-08-17,1559599204460281859,
1559593295956873221,Lula,2022-08-17,1559593295956873221,
1559570712976887808,Lula,2022-08-17,1559570712976887808,
1559538402541899785,Lula,2022-08-17,1559538402541899785,
1559519957897076742,Lula,2022-08-17,1559507556694990850,1559507556694990850
1559497650885595138,Lula,2022-08-17,1559497650885595138,
1559485093726535680,Lula,2022-08-17,1559484792344821762,1559484792344821762
1559484792344821762,Lula,2022-08-17,1559484792344821762,
1559374503754571782,Lula,2022-08-17,1559374499107274753,1559374501527404546
1559374501527404546,Lula,2022-08-17,1559374499107274753,1559374499107274753
1559374499107274753,Lula,2022-08-17,1559374499107274753,
1559330260436525060,Lula,2022-08-17,1559330260436525060,
1560032266042019841,Lula,2022-08-18,1560032266042019841,
1560020563900485634,Lula,2022-08-18,1560020563900485634,
1559998030258098179,Lula,2022-08-18,1559998030258098179,
1559972936991244288,Lula,2022-08-18,1559972936991244288,
1559956168239243268,Lula,2022-08-18,1559956168239243268,
1559930869284044804,Lula,2022-08-18,1559930869284044804,
1559930024303759361,Lula,2022-08-18,1559930024303759361,
1559929820909289472,Lula,2022-08-18,1559929820909289472,
1559919567400587268,Lula,2022-08-18,1559631284703477762,1559631284703477762
1559899043962138624,Lula,2022-08-18,1559899043962138624,
1559884317899325440,Lula,2022-08-18,1559884317899325440,
1559882048038469638,Lula,2022-08-18,1559882048038469638,
1559866897302265858,Lula,2022-08-18,1559866897302265858,
1559865736759312390,Lula,2022-08-18,1559865736759312390,
1559863740098646016,Lula,2022-08-18,1559863740098646016,
1559863217819713536,Lula,2022-08-18,1559863217819713536,
1559862270183841794,Lula,2022-08-18,1559862270183841794,
1559861419176333314,Lula,2022-08-18,1559861419176333314,
1559860164345348096,Lula,2022-08-18,1559860164345348096,
1559858990816772097,Lula,2022-08-18,1559858990816772097,
1559841309350920193,Lula,2022-08-18,1559841309350920193,
1559713251054714881,Lula,2022-08-18,1559713251054714881,1559697404361842691
1559702868956962816,Lula,2022-08-18,1559702868956962816,
1560415297563029505,Lula,2022-08-19,1560415297563029505,
1560415133763080192,Lula,2022-08-19,1560415133763080192,
1560400004006789123,Lula,2022-08-19,1560400004006789123,
1560399094098558983,Lula,2022-08-19,1560399094098558983,
1560398528521900033,Lula,2022-08-19,1560398528521900033,
1560397845596979204,Lula,2022-08-19,1560397845596979204,
1560397377416077318,Lula,2022-08-19,1560397377416077318,
1560396861487423488,Lula,2022-08-19,1560396861487423488,
1560396123465998336,Lula,2022-08-19,1560396123465998336,
1560395574473625600,Lula,2022-08-19,1560395574473625600,
1560395047299911685,Lula,2022-08-19,1560395047299911685,
1560385930468270080,Lula,2022-08-19,1560385930468270080,
1560364148722114560,Lula,2022-08-19,1560364148722114560,
1560352256180076544,Lula,2022-08-19,1560352256180076544,
1560319888643719169,Lula,2022-08-19,1560319888643719169,
1560299315905515525,Lula,2022-08-19,1560299315905515525,
1560285152282034176,Lula,2022-08-19,1560285152282034176,
1560226397930536961,Lula,2022-08-19,1560226220368969729,1560226220368969729
1560226220368969729,Lula,2022-08-19,1560226220368969729,
1560211343441104896,Lula,2022-08-19,1560211343441104896,
1560072171602563074,Lula,2022-08-19,1560072171602563074,1559374561883430921
1560776042821853186,Lula,2022-08-20,1560776042821853186,
1560741650065895424,Lula,2022-08-20,1560741650065895424,
1560705092570980352,Lula,2022-08-20,1560705083826110464,1560705089391714307
1560705089391714307,Lula,2022-08-20,1560705083826110464,1560705086640324614
1560705086640324614,Lula,2022-08-20,1560705083826110464,1560705083826110464
1560705083826110464,Lula,2022-08-20,1560705083826110464,
1560683139340566538,Lula,2022-08-20,1560683139340566538,
1560655381734752256,Lula,2022-08-20,1560655381734752256,
1560619631060008961,Lula,2022-08-20,1560619631060008961,
1560575276429578241,Lula,2022-08-20,1560575276429578241,
1560444599952445442,Lula,2022-08-20,1560444599952445442,
1560428026910973952,Lula,2022-08-20,1560428026910973952,
1561132268034326528,Lula,2022-08-21,1561132268034326528,1561100151300599808
1561119616918773760,Lula,2022-08-21,1561119616918773760,
1561116412957057025,Lula,2022-08-21,1561116412957057025,
1561094730653515785,Lula,2022-08-21,1561094730653515785,
1561066953615282177,Lula,2022-08-21,1561066953615282177,1561027786730520579
1561057306804117505,Lula,2022-08-21,1561057306804117505,
1561045532403027968,Lula,2022-08-21,1561045532403027968,
1561043076906422272,Lula,2022-08-21,1561043076906422272,
